,,,,Tipo,DESAYUNO,,,,,,DESAYUNO NEGOCIADO,,,,DESAYUNO GRUPOS,,,,,,
,,,,Boardservice,Desayuno Buffet ID=86,,Express Breakfast ID=87,,Desayuno colaborador ID=98,,Desayuno Negociado ID=88,,Desayuno Negociado Colaborador ID=101,,Desayuno Grupos ID=103,,Desayuno Grupos Colaborador ID=102,,,Pension Completa Zeta ID=,
,,,,ID Producto,ID=423,ID=553,ID=10321,ID=553,ID=10322,ID=10337,ID=552,ID=553,ID=10342,ID=10337,ID=4344,ID=10338,ID=10339,ID=10340,ID=9781,ID=395,
Hotel,Activo,Incentiva - Colab,% Colab,Zona,Desayuno Buffet Alda,Desayuno Infantil Alda,Express Breakfast,Desayuno Infantil Alda,Desayuno colaborador,Desayuno colaborador Infantil,Desayuno Negociado,Desayuno Infantil Alda,Desayuno Negociado Colaborador,Desayuno Colaborador Infantil,Desayuno Grupo,Desayuno Grupo Infantil,Desayuno Grupo Colaborador,Desayuno Grupo Colaborador Infantil,Suplemento Desayuno Grupos,Pensión Completa Zeta,Comentarios
[101] O Fogar de Teodomiro,TRUE,FALSE,,Galicia Centro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,, Servicio en Algalia
[102] Hostal Alda Casco Antiguo,TRUE,FALSE,,Castilla y Leon Centro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[103] Alda Centro León,FALSE,FALSE,,Castilla y Leon Centro,-,-,-,-,-,,-,-,,,,,,,,,
[106] Hotel Alda Algalia,TRUE,FALSE,,Galicia Centro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[108] Hostal Albergue Lucus,FALSE,FALSE,,Rias Altas,,,,,,,,,,,,,,,,,
[109] Hotel Alda San Carlos,TRUE,FALSE,,Galicia Centro,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[111] Hostal Alda Catedral,FALSE,FALSE,,Galicia Centro,-,-,-,-,-,,-,-,,,,,,,,,
